control_structure_complexity,nesting_level,compound_condition_weight,try_catch_weight,current_inheritance,label
0,0,0,5,2,Moderate complexity: Try-catch nesting is acceptable but consider flattening for clarity
0,0,0,5,1,Moderate complexity: Try-catch nesting is acceptable but consider flattening for clarity
5,8,0,0,3,Critical refactor: High complexity and switch case nesting
5,8,0,0,2,Critical refactor: High complexity and switch case nesting
5,8,0,0,1,Critical refactor: High complexity and switch case nesting
4,8,0,0,3,Critical refactor: High complexity and switch case nesting
4,8,0,0,2,Critical refactor: High complexity and switch case nesting
4,8,0,0,1,Critical refactor: High complexity and switch case nesting
3,8,0,0,3,Critical refactor: High complexity and switch case nesting
3,8,0,0,2,Critical refactor: High complexity and switch case nesting
3,8,0,0,1,Critical refactor: High complexity and switch case nesting
4,4,6,0,1,Critical refactor: Excessive compound conditions, simplify conditional logic
5,6,2,2,1,Critical refactor: High complexity and switch case nesting
1,5,0,0,3,Critical refactor: High complexity and if nesting
0,5,6,2,4,Consider reducing inheritance levels to improve maintainability
2,0,5,3,4,Consider reducing inheritance levels to improve maintainability
0,6,0,4,2,Moderate complexity: Try-catch nesting is acceptable but consider flattening for clarity
6,9,6,2,4,Critical refactor: High complexity and switch case nesting
0,0,0,6,1,Moderate complexity: Try-catch nesting is acceptable but consider flattening for clarity
0,0,0,4,1,Moderate complexity: Try-catch nesting is acceptable but consider flattening for clarity
0,0,0,4,2,Moderate complexity: Try-catch nesting is acceptable but consider flattening for clarity
0,0,0,4,3,Moderate complexity: Try-catch nesting is acceptable but consider flattening for clarity
6,4,0,1,0,No action needed
3,4,3,5,2,Moderate complexity: Try-catch nesting is acceptable but consider flattening for clarity
1,5,2,1,5,Critical refactor: High complexity and if nesting
2,1,4,5,1,Moderate complexity: Try-catch nesting is acceptable but consider flattening for clarity
4,3,1,3,3,No action needed
2,8,1,0,2,Critical refactor: High complexity and for loop nesting
0,0,0,6,1,Critical refactor: High complexity due to try-catch nesting
0,0,0,6,2,Critical refactor: High complexity due to try-catch nesting
0,0,0,6,3,Critical refactor: High complexity due to try-catch nesting
